Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Date1,LT_Rev,Date2,ST_Rev,Date3,Mom
197704,    0.15,    0.60,    3.38,   -1.98,    1.04,    0.38,194410,  -0.77,193911,  -8.97,194010,  -5.76
197705,   -1.47,    1.37,    0.81,    0.43,    0.22,    0.37,194411,  -2.34,193912,  -0.64,194011,   1.31
197706,    4.72,    2.10,   -0.62,    0.91,   -1.27,    0.40,194412,  -0.34,194001,   3.04,194012,   3.54
197707,   -1.69,    1.81,   -0.60,    0.75,    0.12,    0.42,194501,   0.60,194002,   2.74,194101,  -4.40
197708,   -1.76,    0.93,   -2.77,    1.04,   -0.67,    0.44,194502,  -0.17,194003,   1.83,194102,   1.04
197709,   -0.27,    1.62,   -0.26,    0.92,   -0.65,    0.43,194503,   0.12,194004,   2.07,194103,   2.47
197710,   -4.39,    1.41,    1.62,   -0.09,   -0.46,    0.49,194504,  -1.83,194005,  -0.39,194104,   3.05
197711,    4.02,    3.60,    0.23,   -0.06,    0.68,    0.50,194505,  -0.87,194006,   5.71,194105,   2.52
197712,    0.27,    1.61,   -0.29,    0.93,   -0.66,    0.49,194506,   0.97,194007,   2.48,194106,  -0.77
197801,   -5.99,    2.76,    3.38,   -1.80,    1.56,    0.49,194507,   1.73,194008,   1.24,194107,  -1.56
197802,   -1.39,    3.70,    0.81,    0.30,    1.05,    0.46,194508,  -0.50,194009,  -0.55,194108,   0.18
197803,    2.85,    3.65,    1.15,   -0.57,    2.00,    0.53,194509,  -1.86,194010,   0.30,194109,  -1.59
197804,    7.87,   -0.32,   -3.54,    2.87,   -1.27,    0.54,194510,  -3.63,194011,   0.98,194110,   4.90
197805,    1.76,    4.54,   -0.55,    0.20,    0.29,    0.51,194511,  -4.18,194012,   2.19,194111,   4.41
197806,   -1.69,    1.64,    0.60,   -1.41,   -0.12,    0.54,194512,  -1.44,194101,   4.10,194112,   0.40
197807,    5.12,    0.17,   -1.00,    1.47,   -0.73,    0.56,194601,   1.26,194102,   0.59,194201,  -3.82
197808,    3.79,    4.93,   -0.66,    1.57,    0.50,    0.56,194602,   2.05,194103,   1.83,194202,  -0.72
197809,   -1.45,   -0.38,    1.88,   -0.69,    1.57,    0.62,194603,  -2.92,194104,  -1.92,194203,  -0.26
197810,  -11.91,  -10.04,    1.26,    0.17,    1.14,    0.68,194604,  -0.58,194105,   1.04,194204,  -0.83
197811,    2.72,    2.90,   -2.08,    1.09,   -1.19,    0.70,194605,  -2.09,194106,   1.12,194205,  -4.78
197812,    0.88,    1.01,   -2.14,    2.01,   -1.47,    0.78,194606,   1.57,194107,   0.93,194206,  -1.36
197901,    4.22,    3.74,    2.19,   -2.40,    1.58,    0.77,194607,   1.86,194108,   0.84,194207,   0.79
197902,   -3.56,    0.53,    1.17,   -1.11,    0.96,    0.73,194608,   2.29,194109,  -0.41,194208,   0.02
197903,    5.67,    3.17,   -0.68,    0.54,    0.29,    0.81,194609,   5.75,194110,  -1.92,194209,  -0.89
197904,   -0.07,    2.40,    1.12,    1.14,    0.24,    0.80,194610,   1.21,194111,  -1.99,194210,  -4.31
197905,   -2.21,    0.18,    1.32,   -1.56,   -0.31,    0.82,194611,   3.53,194112,  -2.01,194211,  -1.07
197906,    3.84,    0.94,    1.42,   -1.58,   -0.56,    0.81,194612,   0.40,194201,   9.57,194212,   3.18
197907,    0.83,    1.27,    1.79,   -0.44,    0.52,    0.77,194701,  -0.36,194202,   0.89,194301,  -0.30
197908,    5.54,    1.85,   -1.58,    1.50,   -1.46,    0.77,194702,   0.63,194203,  -1.93,194302,  -1.63
197909,   -0.83,   -0.28,   -0.94,    0.84,    0.50,    0.83,194703,   2.97,194204,   0.68,194303,   4.72
197910,   -8.10,   -3.49,   -1.83,    0.96,    0.14,    0.87,194704,   5.16,194205,  -0.29,194304,   5.86
197911,    5.23,    2.51,   -3.21,   -0.03,   -1.83,    0.99,194705,   3.16,194206,   0.71,194305,   5.90
197912,    1.78,    4.27,   -2.13,   -0.67,   -1.01,    0.95,194706,  -2.24,194207,   2.33,194306,  -1.32
198001,    5.50,    1.88,    1.85,   -1.84,    1.89,    0.80,194707,  -3.69,194208,   0.17,194307,  -4.51
198002,   -1.23,   -1.62,    0.59,   -0.95,    2.92,    0.89,194708,   2.37,194209,   1.15,194308,   0.90
198003,  -12.89,   -6.97,   -0.96,    1.82,   -1.05,    1.21,194709,  -0.54,194210,  -1.40,194309,   1.73
198004,    3.96,    1.05,    1.03,   -2.18,    0.34,    1.26,194710,  -1.05,194211,   6.47,194310,  -0.69
198005,    5.26,    2.00,    0.38,    0.43,   -0.63,    0.81,194711,   1.85,194212,   2.13,194311,  -4.47
198006,    2.97,    1.46,   -0.80,   -0.20,   -0.81,    0.61,194712,  -0.13,194301,   5.93,194312,   5.94
198007,    6.51,    3.74,   -6.29,    4.06,   -2.44,    0.53,194801,   1.19,194302,  -5.64,194401,   0.75
198008,    1.75,    4.23,   -2.46,    2.05,   -0.73,    0.64,194802,   2.58,194303,  -2.08,194402,   0.34
198009,    2.19,    0.63,   -4.61,    1.90,   -2.86,    0.75,194803,  -1.54,194304,   0.84,194403,   2.61
198010,    1.04,    2.21,   -2.93,    1.77,   -1.43,    0.95,194804,   0.29,194305,  -0.64,194404,   0.51
198011,    9.60,   -3.27,   -8.11,    4.26,   -5.52,    0.96,194805,  -0.86,194306,   1.96,194405,   1.90
198012,   -4.46,   -0.28,    2.80,   -1.27,    1.27,    1.31,194806,   1.60,194307,   0.38,194406,  -5.52
198101,   -5.06,    3.30,    6.74,   -3.38,    4.27,    1.04,194807,   1.57,194308,   2.32,194407,   0.14
198102,    0.61,   -0.65,    0.97,    0.26,    2.06,    1.07,194808,  -0.91,194309,   0.51,194408,   4.75
